family,family_label,label,threshold_value,threshold_unit,constraint_type,mean_feasible_ratio,mean_feasible_percent,std_feasible_ratio,std_feasible_percent,selected_hardness,selected_target_ratio,selected_target_percent
overshoot,Maximales Überschwingen,overshoot<=22.9 %,22.89473684210526,%,maximum,0.129,12.9,0.01795364401266031,1.7953644012660313,,nan,nan
overshoot,Maximales Überschwingen,overshoot<=27.4 %,27.368421052631575,%,maximum,0.145,14.499999999999998,0.01707825127659933,1.707825127659933,,nan,nan
overshoot,Maximales Überschwingen,overshoot<=31.8 %,31.84210526315789,%,maximum,0.203,20.3,0.017854348987789443,1.7854348987789443,medium,0.2,20.0
overshoot,Maximales Überschwingen,overshoot<=36.3 %,36.315789473684205,%,maximum,0.234,23.400000000000002,0.019020456823582808,1.9020456823582808,,nan,nan
overshoot,Maximales Überschwingen,overshoot<=40.8 %,40.78947368421053,%,maximum,0.24433333333333335,24.433333333333334,0.032285187522040716,3.2285187522040717,,nan,nan
overshoot,Maximales Überschwingen,overshoot<=45.3 %,45.26315789473684,%,maximum,0.2836666666666667,28.366666666666667,0.021105554824368968,2.110555482436897,,nan,nan
overshoot,Maximales Überschwingen,overshoot<=49.7 %,49.73684210526316,%,maximum,0.31666666666666665,31.666666666666664,0.03657564459825386,3.657564459825386,,nan,nan
overshoot,Maximales Überschwingen,overshoot<=54.2 %,54.21052631578947,%,maximum,0.358,35.8,0.020396078054371148,2.039607805437115,,nan,nan
overshoot,Maximales Überschwingen,overshoot<=58.7 %,58.68421052631579,%,maximum,0.419,41.9,0.024269322199023183,2.4269322199023184,,nan,nan
overshoot,Maximales Überschwingen,overshoot<=63.2 %,63.1578947368421,%,maximum,0.4716666666666667,47.16666666666667,0.028489764243788795,2.8489764243788795,easy,0.5,50.0
overshoot,Maximales Überschwingen,overshoot<=67.6 %,67.63157894736842,%,maximum,0.5443333333333333,54.43333333333334,0.038988602323129146,3.8988602323129147,,nan,nan
overshoot,Maximales Überschwingen,overshoot<=72.1 %,72.10526315789474,%,maximum,0.643,64.3,0.021000000000000005,2.1000000000000005,,nan,nan
overshoot,Maximales Überschwingen,overshoot<=76.6 %,76.57894736842105,%,maximum,0.7333333333333334,73.33333333333334,0.032041639575194444,3.2041639575194445,,nan,nan
overshoot,Maximales Überschwingen,overshoot<=81.1 %,81.05263157894737,%,maximum,0.875,87.5,0.024232668491567792,2.423266849156779,,nan,nan
overshoot,Maximales Überschwingen,overshoot<=85.5 %,85.52631578947368,%,maximum,0.967,96.7,0.00948097510221858,0.948097510221858,,nan,nan
overshoot,Maximales Überschwingen,overshoot<=90 %,90.0,%,maximum,0.9786666666666667,97.86666666666667,0.0076303487615064095,0.7630348761506409,,nan,nan
pm,Phasenreserve PM,pm>=0.0 deg,0.0,deg,minimum,0.9996666666666667,99.96666666666667,0.0009999999999999898,0.09999999999999898,,nan,nan
pm,Phasenreserve PM,pm>=3.2 deg,3.1578947368421053,deg,minimum,0.9736666666666667,97.36666666666667,0.009712534856222307,0.9712534856222307,,nan,nan
pm,Phasenreserve PM,pm>=6.3 deg,6.315789473684211,deg,minimum,0.8173333333333334,81.73333333333333,0.01896195020443719,1.896195020443719,,nan,nan
pm,Phasenreserve PM,pm>=9.5 deg,9.473684210526315,deg,minimum,0.6006666666666667,60.06666666666667,0.01436043948569202,1.436043948569202,,nan,nan
pm,Phasenreserve PM,pm>=12.6 deg,12.631578947368421,deg,minimum,0.4573333333333333,45.733333333333334,0.021643577440997232,2.164357744099723,easy,0.5,50.0
pm,Phasenreserve PM,pm>=15.8 deg,15.789473684210527,deg,minimum,0.38466666666666666,38.46666666666667,0.02993325909419153,2.993325909419153,,nan,nan
pm,Phasenreserve PM,pm>=18.9 deg,18.94736842105263,deg,minimum,0.30333333333333334,30.333333333333336,0.020869967789998035,2.0869967789998034,,nan,nan
